,GDP
2000-01,10002.179
2000-02,10084.029
2000-03,10165.879
2000-04,10247.72
2000-05,10271.199999999999
2000-06,10294.679999999998
2000-07,10318.165
2000-08,10357.355000000001
2000-09,10396.545
2000-10,10435.744
2000-11,10447.244
2000-12,10458.744
2001-01,10470.231
2001-02,10513.151
2001-03,10556.071
2001-04,10599.0
2001-05,10598.67
2001-06,10598.34
2001-07,10598.02
2001-08,10618.83
2001-09,10639.640000000001
2001-10,10660.465
2001-11,10701.475
2001-12,10742.485
2002-01,10783.5
2002-02,10818.15
2002-03,10852.8
2002-04,10887.46
2002-05,10919.65
2002-06,10951.839999999998
2002-07,10984.04
2002-08,11009.84
2002-09,11035.640000000001
2002-10,11061.433
2002-11,11099.003
2002-12,11136.573
2003-01,11174.129
2003-02,11220.339
2003-03,11266.549
2003-04,11312.766
2003-05,11397.395999999999
2003-06,11482.026
2003-07,11566.669
2003-08,11635.189
2003-09,11703.709
2003-10,11772.234
2003-11,11822.634
2003-12,11873.034
2004-01,11923.447
2004-02,11986.567000000001
2004-03,12049.687
2004-04,12112.815
2004-05,12176.975
2004-06,12241.135
2004-07,12305.307
2004-08,12379.277
2004-09,12453.247000000001
2004-10,12527.214
2004-11,12607.234
2004-12,12687.254
2005-01,12767.286
2005-02,12819.076000000001
2005-03,12870.866
2005-04,12922.656
2005-05,12995.986
2005-06,13069.316
2005-07,13142.642
2005-08,13203.162
2005-09,13263.682
2005-10,13324.204
2005-11,13415.854
2005-12,13507.503999999999
2006-01,13599.16
2006-02,13650.58
2006-03,13702.0
2006-04,13753.424
2006-05,13792.344000000001
2006-06,13831.264000000001
2006-07,13870.188
2006-08,13926.648
2006-09,13983.108
2006-10,14039.56
2006-11,14098.26
2006-12,14156.96
2007-01,14215.651
2007-02,14277.791
2007-03,14339.931
2007-04,14402.082
2007-05,14456.092
2007-06,14510.102
2007-07,14564.117
2007-08,14614.427
2007-09,14664.737000000001
2007-10,14715.058
2007-11,14712.218
2007-12,14709.378
2008-01,14706.538
2008-02,14759.588
2008-03,14812.638
2008-04,14865.701
2008-05,14876.801
2008-06,14887.901
2008-07,14898.999
2008-08,14802.069
2008-09,14705.139
2008-10,14608.208
2008-11,14549.108
2008-12,14490.008
2009-01,14430.901
2009-02,14414.351
2009-03,14397.801
2009-04,14381.236
2009-05,14403.786
2009-06,14426.336000000001
2009-07,14448.882
2009-08,14516.341999999999
2009-09,14583.802
2009-10,14651.248
2009-11,14689.038
2009-12,14726.828
2010-01,14764.611
2010-02,14836.471000000001
2010-03,14908.331
2010-04,14980.193
2010-05,15033.992999999999
2010-06,15087.793
2010-07,15141.605
2010-08,15197.564999999999
2010-09,15253.525
2010-10,15309.471
2010-11,15323.461
2010-12,15337.451
2011-01,15351.444
2011-02,15420.144
2011-03,15488.844
2011-04,15557.535
2011-05,15587.585
2011-06,15617.635
2011-07,15647.681
2011-08,15712.541000000001
2011-09,15777.401
2011-10,15842.267
2011-11,15917.787
2011-12,15993.307
2012-01,16068.824
2012-02,16114.924
2012-03,16161.024000000001
2012-04,16207.13
2012-05,16244.599999999999
2012-06,16282.07
2012-07,16319.54
2012-08,16353.160000000002
2012-09,16386.780000000002
2012-10,16420.386
2012-11,16489.935999999998
2012-12,16559.485999999997
2013-01,16629.05
2013-02,16652.55
2013-03,16676.05
2013-04,16699.551
2013-05,16770.060999999998
2013-06,16840.571
2013-07,16911.068
2013-08,16985.088
2013-09,17059.108
2013-10,17133.114
2013-11,17136.834000000003
2013-12,17140.554
2014-01,17144.281
2014-02,17250.421
2014-03,17356.560999999998
2014-04,17462.703
2014-05,17556.213
2014-06,17649.723
2014-07,17743.227
2014-08,17779.666999999998
2014-09,17816.107
2014-10,17852.54
2014-11,17898.81
2014-12,17945.08
2015-01,17991.348
2015-02,18058.798000000003
2015-03,18126.248000000003
2015-04,18193.707
2015-05,18231.457
2015-06,18269.207
2015-07,18306.96
2015-08,18315.329999999998
2015-09,18323.7
2015-10,18332.079
2015-11,18363.159000000003
2015-12,18394.239
2016-01,18425.306
2016-02,18487.406
2016-03,18549.506
2016-04,18611.617
2016-05,18666.227
2016-06,18720.837
2016-07,18775.459
2016-08,18839.648999999998
2016-09,18903.839
2016-10,18968.041
2016-11,19028.091
2016-12,19088.141
2017-01,19148.194
2017-02,19200.293999999998
2017-03,19252.394
2017-04,19304.506
2017-05,19390.306
2017-06,19476.106
2017-07,19561.896
2017-08,19672.846
2017-09,19783.796000000002
2017-10,19894.75
2017-11,19981.66
2017-12,20068.57
2018-01,20155.486
2018-02,20260.386000000002
2018-03,20365.286
2018-04,20470.197
2018-05,20542.557
2018-06,20614.917
2018-07,20687.278
2018-08,20731.278
2018-09,20775.278
2018-10,20819.269
2018-11,20883.879
2018-12,20948.489
2019-01,21013.085
2019-02,21099.535
2019-03,21185.985
2019-04,21272.448
2019-05,21358.908
2019-06,21445.368
2019-07,21531.839
2019-08,21590.069
2019-09,21648.299
2019-10,21706.532
2019-11,21650.362
2019-12,21594.192
2020-01,21538.032
2020-02,20904.262
2020-03,20270.492
2020-04,19636.731
2020-05,20211.961
2020-06,20787.191
2020-07,21362.428
2020-08,21476.518
2020-09,21590.608
2020-10,21704.706
2020-11,21907.755999999998
2020-12,22110.805999999997
