,population
2000-01,281304.0
2000-02,281536.67
2000-03,281769.34
2000-04,282002.0
2000-05,282257.67
2000-06,282513.34
2000-07,282769.0
2000-08,283018.67
2000-09,283268.34
2000-10,283518.0
2000-11,283735.0
2000-12,283952.0
2001-01,284169.0
2001-02,284392.0
2001-03,284615.0
2001-04,284838.0
2001-05,285086.67
2001-06,285335.34
2001-07,285584.0
2001-08,285826.33
2001-09,286068.66
2001-10,286311.0
2001-11,286519.0
2001-12,286727.0
2002-01,286935.0
2002-02,287148.0
2002-03,287361.0
2002-04,287574.0
2002-05,287817.0
2002-06,288060.0
2002-07,288303.0
2002-08,288537.67
2002-09,288772.34
2002-10,289007.0
2002-11,289207.67
2002-12,289408.34
2003-01,289609.0
2003-02,289823.67
2003-03,290038.34
2003-04,290253.0
2003-05,290493.33
2003-06,290733.66
2003-07,290974.0
2003-08,291205.67
2003-09,291437.34
2003-10,291669.0
2003-11,291858.33
2003-12,292047.66
2004-01,292237.0
2004-02,292449.67
2004-03,292662.34
2004-04,292875.0
2004-05,293117.67
2004-06,293360.34
2004-07,293603.0
2004-08,293846.67
2004-09,294090.34
2004-10,294334.0
2004-11,294541.67
2004-12,294749.34
2005-01,294957.0
2005-02,295167.33
2005-03,295377.66
2005-04,295588.0
2005-05,295838.67
2005-06,296089.34
2005-07,296340.0
2005-08,296588.67
2005-09,296837.34
2005-10,297086.0
2005-11,297302.67
2005-12,297519.34
2006-01,297736.0
2006-02,297960.0
2006-03,298184.0
2006-04,298408.0
2006-05,298665.33
2006-06,298922.66
2006-07,299180.0
2006-08,299435.33
2006-09,299690.66
2006-10,299946.0
2006-11,300167.0
2006-12,300388.0
2007-01,300609.0
2007-02,300834.0
2007-03,301059.0
2007-04,301284.0
2007-05,301543.33
2007-06,301802.66
2007-07,302062.0
2007-08,302317.67
2007-09,302573.34
2007-10,302829.0
2007-11,303050.67
2007-12,303272.34
2008-01,303494.0
2008-02,303716.0
2008-03,303938.0
2008-04,304160.0
2008-05,304407.33
2008-06,304654.66
2008-07,304902.0
2008-08,305140.0
2008-09,305378.0
2008-10,305616.0
2008-11,305823.0
2008-12,306030.0
2009-01,306237.0
2009-02,306446.67
2009-03,306656.34
2009-04,306866.0
2009-05,307101.67
2009-06,307337.34
2009-07,307573.0
2009-08,307810.33
2009-09,308047.66
2009-10,308285.0
2009-11,308490.33
2009-12,308695.66
2010-01,308901.0
2010-02,309096.67
2010-03,309292.34
2010-04,309488.0
2010-05,309708.0
2010-06,309928.0
2010-07,310148.0
2010-08,310371.0
2010-09,310594.0
2010-10,310817.0
2010-11,311003.33
2010-12,311189.66
2011-01,311376.0
2011-02,311564.0
2011-03,311752.0
2011-04,311940.0
2011-05,312162.0
2011-06,312384.0
2011-07,312606.0
2011-08,312823.33
2011-09,313040.66
2011-10,313258.0
2011-11,313443.0
2011-12,313628.0
2012-01,313813.0
2012-02,313999.67
2012-03,314186.34
2012-04,314373.0
2012-05,314592.0
2012-06,314811.0
2012-07,315030.0
2012-08,315248.33
2012-09,315466.66
2012-10,315685.0
2012-11,315855.33
2012-12,316025.66
2013-01,316196.0
2013-02,316375.0
2013-03,316554.0
2013-04,316733.0
2013-05,316954.0
2013-06,317175.0
2013-07,317396.0
2013-08,317621.33
2013-09,317846.66
2013-10,318072.0
2013-11,318263.0
2013-12,318454.0
2014-01,318645.0
2014-02,318839.33
2014-03,319033.66
2014-04,319228.0
2014-05,319458.33
2014-06,319688.66
2014-07,319919.0
2014-08,320149.67
2014-09,320380.34
2014-10,320611.0
2014-11,320796.67
2014-12,320982.34
2015-01,321168.0
2015-02,321360.0
2015-03,321552.0
2015-04,321744.0
2015-05,321972.0
2015-06,322200.0
2015-07,322428.0
2015-08,322655.33
2015-09,322882.66
2015-10,323110.0
2015-11,323303.0
2015-12,323496.0
2016-01,323689.0
2016-02,323881.0
2016-03,324073.0
2016-04,324265.0
2016-05,324485.33
2016-06,324705.66
2016-07,324926.0
2016-08,325136.33
2016-09,325346.66
2016-10,325557.0
2016-11,325722.33
2016-12,325887.66
2017-01,326053.0
2017-02,326220.0
2017-03,326387.0
2017-04,326554.0
2017-05,326749.33
2017-06,326944.66
2017-07,327140.0
2017-08,327324.0
2017-09,327508.0
2017-10,327692.0
2017-11,327825.0
2017-12,327958.0
2018-01,328091.0
2018-02,328236.0
2018-03,328381.0
2018-04,328526.0
2018-05,328697.33
2018-06,328868.66
2018-07,329040.0
2018-08,329200.67
2018-09,329361.34
2018-10,329522.0
2018-11,329637.33
2018-12,329752.66
2019-01,329868.0
2019-02,329993.67
2019-03,330119.34
2019-04,330245.0
2019-05,330406.33
2019-06,330567.66
2019-07,330729.0
2019-08,330888.67
2019-09,331048.34
2019-10,331208.0
2019-11,331316.67
2019-12,331425.34
2020-01,331534.0
2020-02,331589.0
2020-03,331644.0
2020-04,331699.0
2020-05,331756.67
2020-06,331814.34
2020-07,331872.0
2020-08,331929.67
2020-09,331987.34
2020-10,332045.0
2020-11,332026.33
2020-12,332007.66
