,homeownership
2000-01,67.1
2000-02,67.13
2000-03,67.16
2000-04,67.2
2000-05,67.37
2000-06,67.54
2000-07,67.7
2000-08,67.63000000000001
2000-09,67.56
2000-10,67.5
2000-11,67.5
2000-12,67.5
2001-01,67.5
2001-02,67.57
2001-03,67.64
2001-04,67.7
2001-05,67.83
2001-06,67.96000000000001
2001-07,68.1
2001-08,68.07
2001-09,68.03999999999999
2001-10,68.0
2001-11,67.93
2001-12,67.86
2002-01,67.8
2002-02,67.73
2002-03,67.66
2002-04,67.6
2002-05,67.72999999999999
2002-06,67.86
2002-07,68.0
2002-08,68.1
2002-09,68.2
2002-10,68.3
2002-11,68.2
2002-12,68.1
2003-01,68.0
2003-02,68.0
2003-03,68.0
2003-04,68.0
2003-05,68.13
2003-06,68.26
2003-07,68.4
2003-08,68.47
2003-09,68.54
2003-10,68.6
2003-11,68.6
2003-12,68.6
2004-01,68.6
2004-02,68.8
2004-03,69.0
2004-04,69.2
2004-05,69.13000000000001
2004-06,69.06
2004-07,69.0
2004-08,69.07
2004-09,69.14
2004-10,69.2
2004-11,69.17
2004-12,69.14
2005-01,69.1
2005-02,68.92999999999999
2005-03,68.75999999999999
2005-04,68.6
2005-05,68.66999999999999
2005-06,68.74
2005-07,68.8
2005-08,68.86999999999999
2005-09,68.94
2005-10,69.0
2005-11,68.83
2005-12,68.66
2006-01,68.5
2006-02,68.57
2006-03,68.64
2006-04,68.7
2006-05,68.8
2006-06,68.9
2006-07,69.0
2006-08,68.97
2006-09,68.94
2006-10,68.9
2006-11,68.73
2006-12,68.56
2007-01,68.4
2007-02,68.33000000000001
2007-03,68.26
2007-04,68.2
2007-05,68.2
2007-06,68.2
2007-07,68.2
2007-08,68.07000000000001
2007-09,67.94
2007-10,67.8
2007-11,67.8
2007-12,67.8
2008-01,67.8
2008-02,67.89999999999999
2008-03,68.0
2008-04,68.1
2008-05,68.03
2008-06,67.96
2008-07,67.9
2008-08,67.77000000000001
2008-09,67.64
2008-10,67.5
2008-11,67.43
2008-12,67.36
2009-01,67.3
2009-02,67.33
2009-03,67.36
2009-04,67.4
2009-05,67.47
2009-06,67.54
2009-07,67.6
2009-08,67.47
2009-09,67.33999999999999
2009-10,67.2
2009-11,67.17
2009-12,67.14
2010-01,67.1
2010-02,67.03
2010-03,66.96
2010-04,66.9
2010-05,66.9
2010-06,66.9
2010-07,66.9
2010-08,66.77000000000001
2010-09,66.64
2010-10,66.5
2010-11,66.47
2010-12,66.44
2011-01,66.4
2011-02,66.23
2011-03,66.06
2011-04,65.9
2011-05,66.03
2011-06,66.16000000000001
2011-07,66.3
2011-08,66.2
2011-09,66.1
2011-10,66.0
2011-11,65.8
2011-12,65.6
2012-01,65.4
2012-02,65.43
2012-03,65.46000000000001
2012-04,65.5
2012-05,65.5
2012-06,65.5
2012-07,65.5
2012-08,65.47
2012-09,65.44
2012-10,65.4
2012-11,65.27000000000001
2012-12,65.14
2013-01,65.0
2013-02,65.0
2013-03,65.0
2013-04,65.0
2013-05,65.1
2013-06,65.2
2013-07,65.3
2013-08,65.27
2013-09,65.24
2013-10,65.2
2013-11,65.07000000000001
2013-12,64.94
2014-01,64.8
2014-02,64.77
2014-03,64.74
2014-04,64.7
2014-05,64.60000000000001
2014-06,64.5
2014-07,64.4
2014-08,64.27000000000001
2014-09,64.14
2014-10,64.0
2014-11,63.9
2014-12,63.8
2015-01,63.7
2015-02,63.6
2015-03,63.5
2015-04,63.4
2015-05,63.5
2015-06,63.6
2015-07,63.7
2015-08,63.730000000000004
2015-09,63.760000000000005
2015-10,63.8
2015-11,63.699999999999996
2015-12,63.599999999999994
2016-01,63.5
2016-02,63.3
2016-03,63.1
2016-04,62.9
2016-05,63.1
2016-06,63.3
2016-07,63.5
2016-08,63.57
2016-09,63.64
2016-10,63.7
2016-11,63.67
2016-12,63.64
2017-01,63.6
2017-02,63.63
2017-03,63.660000000000004
2017-04,63.7
2017-05,63.77
2017-06,63.84
2017-07,63.9
2017-08,64.0
2017-09,64.1
2017-10,64.2
2017-11,64.2
2017-12,64.2
2018-01,64.2
2018-02,64.23
2018-03,64.26
2018-04,64.3
2018-05,64.33
2018-06,64.36
2018-07,64.4
2018-08,64.53
2018-09,64.66000000000001
2018-10,64.8
2018-11,64.6
2018-12,64.39999999999999
2019-01,64.2
2019-02,64.17
2019-03,64.14
2019-04,64.1
2019-05,64.33
2019-06,64.55999999999999
2019-07,64.8
2019-08,64.89999999999999
2019-09,65.0
2019-10,65.1
2019-11,65.16999999999999
2019-12,65.24
2020-01,65.3
2020-02,66.17
2020-03,67.03999999999999
2020-04,67.9
2020-05,67.73
2020-06,67.56
2020-07,67.4
2020-08,66.87
2020-09,66.34
2020-10,65.8
2020-11,65.73
2020-12,65.66
2021-01,65.6
2021-02,65.53
2021-03,65.46
2021-04,65.4
2021-05,65.4
2021-06,65.4
2021-07,65.4
2021-08,65.43
2021-09,65.46000000000001
2021-10,65.5
2021-11,65.47
2021-12,65.44
2022-01,65.4
2022-02,65.53
2022-03,65.66000000000001
2022-04,65.8
2022-05,65.86999999999999
2022-06,65.94
2022-07,66.0
2022-08,65.97
2022-09,65.94
2022-10,65.9
2022-11,65.93
2022-12,65.96000000000001
