DATE,industrial_production_cement
2000-01,144.613
2000-02,143.9732
2000-03,151.6946
2000-04,142.1024
2000-05,143.7562
2000-06,140.99
2000-07,140.54
2000-08,144.0
2000-09,142.1897
2000-10,143.4779
2000-11,137.4387
2000-12,130.5541
2001-01,139.6751
2001-02,143.9848
2001-03,147.6021
2001-04,152.7133
2001-05,149.6911
2001-06,147.0751
2001-07,147.7865
2001-08,145.3626
2001-09,143.2876
2001-10,146.5655
2001-11,151.3362
2001-12,149.4688
2002-01,154.1368
2002-02,153.3106
2002-03,144.7966
2002-04,142.7707
2002-05,141.9094
2002-06,144.8674
2002-07,143.1601
2002-08,142.5233
2002-09,144.0017
2002-10,140.5239
2002-11,141.7779
2002-12,136.1994
2003-01,145.7576
2003-02,130.6707
2003-03,139.9231
2003-04,143.4302
2003-05,143.716
2003-06,146.5043
2003-07,151.803
2003-08,152.498
2003-09,154.9852
2003-10,162.1132
2003-11,156.7902
2003-12,160.271
2004-01,152.7907
2004-02,149.9506
2004-03,169.2419
2004-04,170.912
2004-05,166.8739
2004-06,161.1205
2004-07,165.4313
2004-08,165.3898
2004-09,164.6773
2004-10,159.7799
2004-11,155.9717
2004-12,165.2899
2005-01,162.337
2005-02,166.6182
2005-03,164.584
2005-04,160.4395
2005-05,164.6264
2005-06,164.5805
2005-07,157.5149
2005-08,158.9917
2005-09,160.2513
2005-10,161.7801
2005-11,166.926
2005-12,170.1105
2006-01,192.0322
2006-02,186.9827
2006-03,174.864
2006-04,165.8735
2006-05,160.6514
2006-06,161.3281
2006-07,152.8727
2006-08,153.7995
2006-09,149.9671
2006-10,151.0867
2006-11,153.3176
2006-12,167.7527
2007-01,159.9997
2007-02,153.1247
2007-03,154.2676
2007-04,152.5383
2007-05,154.5282
2007-06,149.986
2007-07,150.4928
2007-08,149.1233
2007-09,149.8047
2007-10,147.7916
2007-11,151.5488
2007-12,145.0394
2008-01,148.6468
2008-02,145.2225
2008-03,141.695
2008-04,141.7131
2008-05,137.6036
2008-06,134.7346
2008-07,135.0042
2008-08,126.4443
2008-09,122.5937
2008-10,118.4615
2008-11,110.4791
2008-12,103.7368
2009-01,95.2495
2009-02,97.6872
2009-03,86.881
2009-04,81.9703
2009-05,78.8737
2009-06,78.7749
2009-07,79.6953
2009-08,77.1998
2009-09,76.367
2009-10,67.7512
2009-11,74.3749
2009-12,69.8002
2010-01,68.4778
2010-02,66.3508
2010-03,74.3844
2010-04,83.5931
2010-05,81.0539
2010-06,79.9611
2010-07,78.0626
2010-08,80.8866
2010-09,80.733
2010-10,82.9329
2010-11,82.6805
2010-12,80.3226
2011-01,79.0521
2011-02,82.803
2011-03,80.3605
2011-04,80.2154
2011-05,83.0405
2011-06,85.5086
2011-07,86.6224
2011-08,88.4423
2011-09,87.5078
2011-10,88.3034
2011-11,87.7571
2011-12,92.3676
2012-01,95.8403
2012-02,95.3474
2012-03,93.6095
2012-04,94.8689
2012-05,92.7701
2012-06,91.4465
2012-07,90.0581
2012-08,90.1465
2012-09,89.7802
2012-10,91.4772
2012-11,95.9137
2012-12,96.1474
2013-01,98.907
2013-02,100.6487
2013-03,100.5747
2013-04,95.5687
2013-05,99.5607
2013-06,101.1157
2013-07,101.9294
2013-08,103.143
2013-09,105.1505
2013-10,103.4174
2013-11,100.2048
2013-12,99.2019
2014-01,96.8279
2014-02,96.6639
2014-03,98.2095
2014-04,99.8622
2014-05,103.247
2014-06,102.0049
2014-07,104.798
2014-08,103.4822
2014-09,106.4102
2014-10,107.4771
2014-11,99.994
2014-12,107.8144
2015-01,108.0196
2015-02,98.3234
2015-03,98.0626
2015-04,102.8839
2015-05,104.7122
2015-06,107.4307
2015-07,112.8845
2015-08,114.3793
2015-09,114.5231
2015-10,113.241
2015-11,112.7522
2015-12,119.8456
2016-01,116.7888
2016-02,119.0626
2016-03,118.9009
2016-04,109.6192
2016-05,107.7492
2016-06,110.7745
2016-07,105.8163
2016-08,105.2523
2016-09,105.2719
2016-10,106.2018
2016-11,107.0915
2016-12,103.4522
2017-01,103.6667
2017-02,109.3678
2017-03,104.1273
2017-04,99.4783
2017-05,98.5261
2017-06,98.5578
2017-07,96.7684
2017-08,96.8806
2017-09,96.879
2017-10,98.9506
2017-11,101.8784
2017-12,102.0626
2018-01,100.0281
2018-02,101.3911
2018-03,100.3022
2018-04,102.4601
2018-05,105.2745
2018-06,103.0784
2018-07,103.6884
2018-08,103.0046
2018-09,100.7646
2018-10,100.0901
2018-11,95.3075
2018-12,96.3338
2019-01,102.6488
2019-02,98.9187
2019-03,97.4072
2019-04,98.5315
2019-05,98.1995
2019-06,98.042
2019-07,102.4513
2019-08,103.3392
2019-09,106.1046
2019-10,102.4713
2019-11,97.2591
2019-12,100.0059
2020-01,107.993
2020-02,105.8406
2020-03,100.6725
2020-04,95.8725
2020-05,99.8972
2020-06,104.5993
2020-07,105.4513
2020-08,103.4103
2020-09,101.6846
2020-10,102.824
2020-11,104.775
2020-12,105.794
2021-01,107.7894
